benchmark_name	tier	rank	task_name	answer_correctness_level	answer_correctness_score	answer_correctness_justification	construct_validity_level	construct_validity_score	construct_validity_justification	code_quality_level	code_quality_score	code_quality_justification	sample_size_level	sample_size_score	sample_size_justification	metric_design_level	metric_design_score	metric_design_justification	problem_statement_level	problem_statement_score	problem_statement_justification	technical_documentation_level	technical_documentation_score	technical_documentation_justification	capability_targeting_level	capability_targeting_score	capability_targeting_justification	item_diversity_level	item_diversity_score	item_diversity_justification	model_coverage_level	model_coverage_score	model_coverage_justification	category_a_subtotal	category_b_subtotal	category_c_subtotal	total_score	total_score_pct
RIAC — Repetition-Induced Attention Collapse	top	3	riac-bench-noise	2	1.0	Uses exact-match verification against known target values. Fully verifiable with deterministic assertions.	2	1.0	Directly tests attention resilience to specific distractor types. Tightly aligned with the RIAC thesis.	1	0.5	Functional notebook using kaggle-benchmarks SDK. Basic code organization with limited documentation.	2	1.0	Generates >20 test items with varying distractor patterns.	1	0.5	Correctness-focused metric design. Single primary dimension without multi-dimensional analysis.	2	1.0	Compelling problem statement about Repetition-Induced Attention Collapse. Clear gap analysis.	1	0.5	Concept well-described in writeup but per-task methodology details limited.	2	1.0	Targets specific sub-capability: selective attention under interference. Well-controlled.	1	0.5	Natural variation but no structured difficulty tiers or per-category reporting.	1	0.5	Tested on 2-3 models. Below 4+ threshold.	4.0	1.5	2.0	7.5	75.0
RIAC — Repetition-Induced Attention Collapse	top	3	riac-bench-number-repetition	2	1.0	Uses exact-match verification against known target values. Fully verifiable with deterministic assertions.	2	1.0	Directly tests attention resilience to specific distractor types. Tightly aligned with the RIAC thesis.	1	0.5	Functional notebook using kaggle-benchmarks SDK. Basic code organization with limited documentation.	2	1.0	Generates >20 test items with varying distractor patterns.	1	0.5	Correctness-focused metric design. Single primary dimension without multi-dimensional analysis.	2	1.0	Compelling problem statement about Repetition-Induced Attention Collapse. Clear gap analysis.	1	0.5	Concept well-described in writeup but per-task methodology details limited.	2	1.0	Targets specific sub-capability: selective attention under interference. Well-controlled.	1	0.5	Natural variation but no structured difficulty tiers or per-category reporting.	1	0.5	Tested on 2-3 models. Below 4+ threshold.	4.0	1.5	2.0	7.5	75.0
RIAC — Repetition-Induced Attention Collapse	top	3	riac-bench-symbol-repetition	2	1.0	Uses exact-match verification against known target values. Fully verifiable with deterministic assertions.	2	1.0	Directly tests attention resilience to specific distractor types. Tightly aligned with the RIAC thesis.	1	0.5	Functional notebook using kaggle-benchmarks SDK. Basic code organization with limited documentation.	2	1.0	Generates >20 test items with varying distractor patterns.	1	0.5	Correctness-focused metric design. Single primary dimension without multi-dimensional analysis.	2	1.0	Compelling problem statement about Repetition-Induced Attention Collapse. Clear gap analysis.	1	0.5	Concept well-described in writeup but per-task methodology details limited.	2	1.0	Targets specific sub-capability: selective attention under interference. Well-controlled.	1	0.5	Natural variation but no structured difficulty tiers or per-category reporting.	1	0.5	Tested on 2-3 models. Below 4+ threshold.	4.0	1.5	2.0	7.5	75.0
RIAC — Repetition-Induced Attention Collapse	top	3	riac-bench-word-repetition	2	1.0	Uses exact-match verification against known target values. Fully verifiable with deterministic assertions.	2	1.0	Directly tests attention resilience to specific distractor types. Tightly aligned with the RIAC thesis.	1	0.5	Functional notebook using kaggle-benchmarks SDK. Basic code organization with limited documentation.	2	1.0	Generates >20 test items with varying distractor patterns.	1	0.5	Correctness-focused metric design. Single primary dimension without multi-dimensional analysis.	2	1.0	Compelling problem statement about Repetition-Induced Attention Collapse. Clear gap analysis.	1	0.5	Concept well-described in writeup but per-task methodology details limited.	2	1.0	Targets specific sub-capability: selective attention under interference. Well-controlled.	1	0.5	Natural variation but no structured difficulty tiers or per-category reporting.	1	0.5	Tested on 2-3 models. Below 4+ threshold.	4.0	1.5	2.0	7.5	75.0
Can LLMs Inhibit Optimization in Supply-Chain Decision-Making?	top	4	beer-game-baseline	2	1.0	Ordering decisions evaluated against deterministic game mechanics. Fully verifiable.	2	1.0	Beer Game simulation directly measures cognitive biases in supply chain decision-making. Strong alignment with Zhu & Heydari research.	2	1.0	Full simulation environment with proper game mechanics. Well-organized and documented.	2	1.0	20-50 rounds per simulation generating >20 decision points.	2	1.0	Multiple distinct metrics: total cost, bullwhip effect, order variance, per-echelon breakdown. Multi-dimensional.	2	1.0	Compelling gap analysis: existing benchmarks don't test cognitive biases in sequential multi-agent decisions.	2	1.0	Comprehensive documentation including game mechanics, parameters, demand patterns, academic references.	2	1.0	Targets inhibitory control in sequential optimization under delayed feedback. Natural experimental controls.	2	1.0	Structured sub-conditions: 4 echelons × demand patterns × time horizons. Systematic variation.	2	1.0	Research-backed; tested across 4+ frontier models.	5.0	2.0	3.0	10.0	100.0
Can LLMs Inhibit Optimization in Supply-Chain Decision-Making?	top	4	beer-game-prompt	2	1.0	Ordering decisions evaluated against deterministic game mechanics. Fully verifiable.	2	1.0	Beer Game simulation directly measures cognitive biases in supply chain decision-making. Strong alignment with Zhu & Heydari research.	2	1.0	Full simulation environment with proper game mechanics. Well-organized and documented.	2	1.0	20-50 rounds per simulation generating >20 decision points.	2	1.0	Multiple distinct metrics: total cost, bullwhip effect, order variance, per-echelon breakdown. Multi-dimensional.	2	1.0	Compelling gap analysis: existing benchmarks don't test cognitive biases in sequential multi-agent decisions.	2	1.0	Comprehensive documentation including game mechanics, parameters, demand patterns, academic references.	2	1.0	Targets inhibitory control in sequential optimization under delayed feedback. Natural experimental controls.	2	1.0	Structured sub-conditions: 4 echelons × demand patterns × time horizons. Systematic variation.	2	1.0	Research-backed; tested across 4+ frontier models.	5.0	2.0	3.0	10.0	100.0
Embodied Inhibitory Control in AnimalAI	middle	147	embodied-inhibitory-control-text-only-control	2	1.0	Deterministic evaluation — correct action verifiable against defined environment state.	2	1.0	Control condition establishes baseline without inhibitory demands. Methodologically sound.	1	0.5	Functional notebook using SDK. Adequate but not extensively documented.	1	0.5	10-20 distinct arena configurations.	1	0.5	Success rate as primary metric. Single dimension.	2	1.0	Compelling problem grounded in comparative psychology. Clear gap between animal cognition testing and AI evaluation.	2	1.0	Good documentation drawing from AnimalAI framework literature with references.	2	1.0	Control condition isolates spatial reasoning without inhibitory demands.	1	0.5	Arena variation but no explicit difficulty tiers.	1	0.5	Tested on 2-3 models.	3.5	2.0	2.0	7.5	75.0
Embodied Inhibitory Control in AnimalAI	middle	147	embodied-inhibitory-control-text-only	2	1.0	Deterministic evaluation. Optimal path defines ground truth.	2	1.0	Test condition introduces inhibitory control demand. Well-established detour reaching paradigm.	1	0.5	Functional notebook. Adequate.	1	0.5	10-20 test scenarios.	1	0.5	Success rate and expected_count. Single primary dimension.	2	1.0	Same strong writeup. Well-motivated.	2	1.0	Good documentation of inhibitory control paradigm and arena configurations.	2	1.0	Precisely targets inhibitory control in spatial reasoning with control condition contrast.	1	0.5	Variation in obstacle placement but no explicit difficulty tiers.	1	0.5	Tested on 2-3 models.	3.5	2.0	2.0	7.5	75.0
Observe-Reason-Learn-Verify-Adapt-Loop	middle	150	predict-next-letter-state	2	1.0	Deterministic ground truth. Exact match verification.	1	0.5	Single-step prediction tests pattern recognition more than full ORLVA loop. Moderate confound.	1	0.5	Functional notebook (v13 = many iterations). Adequate.	2	1.0	Grid-based dataset with >20 prediction items.	1	0.5	Prediction accuracy as primary metric. Single dimension.	1	0.5	ORLVA concept described but abstract. No deep gap analysis vs. ARC-AGI.	1	0.5	Partial documentation of rule sets and grid parameters.	1	0.5	Targets rule-based pattern prediction broadly. Doesn't isolate ORLVA sub-capabilities.	1	0.5	Grid variation but no explicit difficulty tiers.	1	0.5	Tested on 2-3 models.	3.5	1.0	1.5	6.0	60.0
Executive Functions: The Cognitive Control Suite	bottom	289	executive-functions-cognitive-control-suite	0	0.0	No task notebook available.	1	0.5	Writeup shows strong conceptual design grounded in neuropsychology. Cannot verify implementation.	0	0.0	No task notebook available.	0	0.0	No task notebook available.	0	0.0	No task notebook available.	2	1.0	Excellent problem statement grounded in clinical neuropsychology with compelling gap analysis.	1	0.5	Good conceptual documentation but no implementation docs.	0	0.0	No task notebook available.	0	0.0	No task notebook available.	0	0.0	No task notebook available.	0.5	1.5	0.0	2.0	20.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t01-msv-delegate-game	2	1.0	Binary delegate/answer decisions. Fully verifiable via exact match.	2	1.0	Directly operationalizes metacognitive control via delegation behavior. Minimal confounds.	2	1.0	Well-structured 11-task suite with consistent SDK usage.	2	1.0	Expert questions across domains; >20 items.	2	1.0	Delegation rate, accuracy, SDT d-prime, calibration. Multi-dimensional.	2	1.0	Compelling gap analysis: behavioral vs. self-report metacognition.	2	1.0	Comprehensive documentation of experimental paradigm.	2	1.0	Targets metacognitive control via delegation. Experimental controls.	1	0.5	Natural variation across domains, no structured taxonomy.	2	1.0	Tested across 4+ frontier models.	5.0	2.0	2.5	9.5	95.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t02-msv-declared-probe	2	1.0	Confidence vs. accuracy comparison. Verifiable.	1	0.5	Self-reported confidence can be confounded by training.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	2	1.0	Overconfidence rate, calibration error, correlation.	2	1.0	Well-motivated as comparison condition.	2	1.0	Comprehensive probing methodology docs.	1	0.5	Via self-report, not isolated behavioral measurement.	1	0.5	Natural variation.	2	1.0	4+ models.	4.5	2.0	2.0	8.5	85.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t03-msv-second-chance	2	1.0	Binary stick/revise + correctness. Fully verifiable.	2	1.0	Directly operationalizes error detection.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	2	1.0	Revision rate, accuracy improvement, correlation.	2	1.0	Well-motivated within metacognition framework.	2	1.0	Part of comprehensive suite docs.	2	1.0	Targets error detection and correction.	1	0.5	Natural variation.	2	1.0	4+ models.	5.0	2.0	2.5	9.5	95.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t04-msv-confidence-entropy	2	1.0	Token-level logprob entropy. Computationally verifiable.	2	1.0	Directly measures internal uncertainty signals.	2	1.0	Technically sophisticated.	2	1.0	>20 items.	2	1.0	Entropy values, correlation with correctness, calibration curves.	2	1.0	Clear motivation for internal uncertainty measurement.	2	1.0	Comprehensive entropy computation docs.	2	1.0	Targets internal confidence calibration.	1	0.5	Natural variation.	2	1.0	4+ models.	5.0	2.0	2.5	9.5	95.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t05-msv-teammate-delegate	2	1.0	Binary delegation + outcome. Verifiable.	2	1.0	Social-metacognitive control. Well-aligned.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	2	1.0	Delegation rate, accuracy, comparison with solo delegate.	2	1.0	Well-motivated extension of t01.	1	0.5	Partial — relies on suite-level docs.	2	1.0	Social dimension of metacognitive control.	1	0.5	Natural variation.	2	1.0	4+ models.	5.0	1.5	2.5	9.0	90.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t06-msv-behavioral-er	2	1.0	Objective error rate. Verifiable.	2	1.0	Error rate as behavioral metacognitive indicator.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	1	0.5	Error rate as single dimension.	1	0.5	Clear within suite but moderate standalone.	1	0.5	Relies on suite-level docs.	1	0.5	Component of metacognition, less precisely isolated.	1	0.5	Natural variation.	2	1.0	4+ models.	4.5	1.0	2.0	7.5	75.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t07-msv-behavioral-ci	2	1.0	Confidence interval measurement. Verifiable.	2	1.0	Behavioral CI aligns with metacognitive monitoring.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	1	0.5	CI as single primary dimension.	1	0.5	Clear within suite, moderate standalone.	1	0.5	Relies on suite-level docs.	1	0.5	Derived metric rather than isolated sub-capability.	1	0.5	Natural variation.	2	1.0	4+ models.	4.5	1.0	2.0	7.5	75.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t08-msv-behavioral-em	2	1.0	Epistemic marker measurement. Verifiable.	2	1.0	Epistemic markers relate to metacognitive monitoring.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	1	0.5	Epistemic markers as single dimension.	1	0.5	Moderate standalone motivation.	1	0.5	Relies on suite-level docs.	1	0.5	Can be gamed through training.	1	0.5	Natural variation.	2	1.0	4+ models.	4.5	1.0	2.0	7.5	75.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t09-msv-behavioral-pi	2	1.0	Performance index. Verifiable.	2	1.0	PI as combined behavioral metric.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	1	0.5	Single composite index.	1	0.5	Moderate standalone motivation.	1	0.5	Relies on suite-level docs.	1	0.5	Composite rather than isolated.	1	0.5	Natural variation.	2	1.0	4+ models.	4.5	1.0	2.0	7.5	75.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t10-msv-dpp-sequence	2	1.0	Sequential decisions with verifiable outcomes.	2	1.0	DPP tests sequential metacognitive control.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	2	1.0	Sequence-level and step-level metrics. Multi-dimensional.	2	1.0	Clear motivation for sequential metacognitive control.	1	0.5	Moderate documentation.	2	1.0	Targets sequential metacognitive control.	1	0.5	Sequence variation.	2	1.0	4+ models.	5.0	1.5	2.5	9.0	90.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t11-msv-mc-binary-pairs	2	1.0	Binary pair comparisons. Fully verifiable.	2	1.0	Tests discriminative metacognitive ability.	2	1.0	Consistent suite quality.	2	1.0	>20 comparisons.	2	1.0	Discriminative accuracy and calibration. Multi-dimensional.	1	0.5	Moderate standalone motivation.	1	0.5	Moderate documentation.	2	1.0	Relative metacognitive judgment. Well-defined.	2	1.0	Binary pairs create structured comparisons.	2	1.0	4+ models.	5.0	1.0	3.0	9.0	90.0
ITTIA - I think therefore I am	middle	146	ittia-stress-rule-a	2	1.0	Rule-based. Verifiable.	1	0.5	Stress in LLMs is contested.	1	0.5	V1 organizational issues.	1	0.5	10-20 items.	0	0.0	Single accuracy metric.	1	0.5	Basic motivation.	1	0.5	Partial docs.	1	0.5	Broad targeting.	0	0.0	Homogeneous.	1	0.5	2-3 models.	2.5	1.0	1.0	4.5	45.0
ITTIA - I think therefore I am	middle	146	ittia-stress-rule-b	2	1.0	Rule-based. Verifiable.	1	0.5	Same stress confound.	1	0.5	V1.	1	0.5	10-20 items.	0	0.0	Single metric.	1	0.5	Basic.	1	0.5	Partial.	1	0.5	Broad.	0	0.0	Homogeneous.	1	0.5	2-3 models.	2.5	1.0	1.0	4.5	45.0
